date,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,station_id,ddd_car
2015-01-01,23.225352112676056,30.007042253521128,26.08450704225352,86.56338028169014,17.48169014084507,1.5661971830985917,4.859154929577465,225.18309859154928,2.056338028169014,96009,N 
2015-01-02,23.793939393939397,30.196969696969695,26.28030303030303,87.0909090909091,18.16818181818182,2.360606060606061,5.2727272727272725,247.96969696969697,2.242424242424242,96001,N 
2015-01-03,23.547887323943662,30.174647887323946,26.215492957746477,86.56338028169014,19.02957746478873,2.3661971830985915,5.845070422535211,269.7464788732394,2.4225352112676055,96001,N 
2015-01-04,23.162121212121214,30.069696969696967,26.124242424242425,85.81818181818181,23.60151515151515,2.646969696969697,5.257575757575758,255.42424242424244,2.1363636363636362,96001,N 
2015-01-05,23.3015625,30.4859375,26.4015625,84.5,9.934375000000001,3.403125,4.90625,241.28125,1.9375,96009,N 
2015-01-06,23.812962962962963,30.94074074074074,26.76666666666667,84.74074074074075,8.549999999999999,3.5462962962962963,5.314814814814815,255.22222222222223,2.111111111111111,96001,N 
2015-01-07,23.474242424242423,31.03333333333333,26.595454545454544,84.37878787878788,9.146969696969698,3.6575757575757577,5.121212121212121,251.62121212121212,2.196969696969697,96009,N 
2015-01-08,23.646753246753246,30.593506493506492,26.645454545454545,84.88311688311688,10.614285714285714,3.55974025974026,5.090909090909091,232.14285714285714,2.3506493506493507,96001,N 
2015-01-09,23.865151515151513,30.886363636363637,27.033333333333335,82.28787878787878,6.575757575757576,3.68030303030303,5.924242424242424,259.75757575757575,2.6666666666666665,96001,N 
2015-01-10,23.99154929577465,30.776056338028166,26.900000000000002,83.33802816901408,11.654929577464788,4.0408450704225345,5.492957746478873,252.77464788732394,2.5492957746478875,96001,N 
2015-01-11,23.6859375,30.809375,26.7125,84.109375,12.973437500000001,4.2140625,5.625,247.828125,2.3125,96009,N 
2015-01-12,23.43448275862069,30.79137931034483,26.50689655172414,84.3103448275862,5.043103448275862,4.298275862068966,4.896551724137931,236.94827586206895,1.7758620689655173,96001,N 
